taglen,crossmapped,rRNA,rmsk_DNA,LTR,precursor,rmsk_Simple_repeat,Coding_Exon,Unknown,unannotated,srpRNA,tRNA,LINE,No_CDS,rmsk_Other,rmsk_RNA,Satellite,p3_UTR,rmsk_Unknown,snoRNA,snRNA,rmsk_Low_complexity,p5_UTR,star,scRNA,mature,Intron,stemloop,SINE
37,0,0,0,0,0,0,0.00599394803362323,0.0784368295831561,0,0,0,0,0,0,0,0,0.00155612112411372,0,0,0,0,0.000624369586835753,0,0,1.60094765855321e-05,0.0111457975988475,1.60094765855321e-05,0
38,0,0,0,0,0,0,0.00602276509147719,0.0879176416171083,0,0,0,0,0,0,0,0,0.0013447960331847,0,0,0,0,0.000496293774151496,0,0,1.28075812684257e-05,0.0186254250596081,1.28075812684257e-05,0
39,0,0,0,0,0,0,0.00621167691518647,0.0881994084050136,0,0,0,0,0,0,0,0,0.00175463863377432,0,0,0,0,0.000374621752101452,0,0,2.88170578539578e-05,0.0194387064701531,3.20189531710643e-06,0
40,0,0,0,0,0,0,0.00651265507499447,0.0794518303986789,3.20189531710643e-06,0,0,0,0,0,0,0,0.00153370785689398,0,0,0,0,0.000342602798930388,0,0,3.52208484881707e-05,0.0210076351755353,6.40379063421285e-06,0
41,0,0,0,0,0,0,0.00646462664523788,0.0902998517330355,0,0,0,0,0,0,0,0,0.00135760361445312,0,0,0,0,0.000323391427027749,0,0,8.32492782447671e-05,0.0604485816916522,1.28075812684257e-05,0
42,0,0,0,0,0,0,0.00671757637528928,0.120583377642228,6.40379063421285e-06,0,0,0,0,0,0,0,0.0013447960331847,0,0,0,0,0.000291372473856685,0,0,4.482653443949e-05,0.0236299874402454,0,0
43,0,0,0,0,3.20189531710643e-06,0,0.00725229289324606,0.144863349831846,3.20189531710643e-06,0,0,0,0,0,0,0,0.00177064811035985,0,0,0,0,0.000371419856784346,0,0,1.60094765855321e-05,0.0193362458200057,6.40379063421285e-06,0
44,0,0,0,0,0,0,0.00703776590699993,0.187323683631994,3.20189531710643e-06,0,0,0,0,0,0,0,0.00214526986246131,0,0,0,0,0.000589148738347583,0,0,8.64511735618735e-05,0.0172966385030089,0,0
45,0,0,0,0,0,0,0.00959928216068507,0.153758215022768,0,0,0,0,0,0,0,0,0.00203320352636258,0,0,0,0,0.000473880506931751,0,0,0.0010950481984504,0.0609160584079498,0,0
46,0,0,0,0,0,0,0.0149208321777159,0.393797903155602,3.20189531710643e-06,0,0,0,0,0,0,0,0.00298416643554319,0,0,0,0,0.00155612112411372,0,0,0.000147287184586896,0.280409184290912,3.20189531710643e-06,0
47,0,0,0,0,1.28075812684257e-05,0,0.0417847338882389,5.84224863728936,0,0,0,0,0,0,0,0,0.00843379226525833,0,0,0,0,0.00193394477153228,0,0,0.000220930776880343,2.42873685678006,3.20189531710643e-06,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,4.80284297565964e-05,0,0.336986674544183,59.8045940922086,0.000147287184586896,0,0,0,0,0,0,0,0.13118165114185,0,0,0,0,0.0448841685551979,0,0,0.00319549152647221,25.1222979925845,6.40379063421285e-06,0
