taglen,crossmapped,unannotated,precursor,rRNA,rmsk_DNA,p3_UTR,Satellite,rmsk_RNA,snoRNA,Coding_Exon,Unknown,rmsk_Other,tRNA,rmsk_Low_complexity,rmsk_Simple_repeat,p5_UTR,stemloop,No_CDS,LINE,Intron,srpRNA,LTR,scRNA,SINE,star,mature,snRNA,rmsk_Unknown
39,0,0,0,0,0,0.00422472906549721,0,0,0,0.0176913056369529,0.101595637718607,0,0,0,0,0.000772175360296619,8.0856058669803e-06,0,0,0.0233714437585066,0,0,0,0,0,0.000121284088004705,0,0
40,0,4.04280293349015e-06,0,0,0,0.00333531242012937,0,0,0,0.0176791772281524,0.0893742444506668,0,0,0,0,0.00079238937496407,4.04280293349015e-06,0,0,0.0228620505888868,0,0,0,0,0,2.82996205344311e-05,0,0
41,0,4.04280293349015e-06,0,0,0,0.00289464690037895,0,0,0,0.018079414718568,0.112717388588639,0,0,0,0,0.000675148089892855,1.21284088004705e-05,0,0,0.0333369529895598,0,0,0,0,0,6.46848469358424e-05,0,0
42,0,8.0856058669803e-06,0,0,0,0.00261973630090162,0,0,0,0.0175376791254803,0.141130207605208,0,0,0,0,0.000727704528028227,8.0856058669803e-06,0,0,0.0240748914689338,0,0,0,0,0,1.21284088004705e-05,0,0
43,0,4.04280293349015e-06,4.04280293349015e-06,0,0,0.00304018780598459,0,0,0,0.0172789397377369,0.135870520988737,0,0,0,0,0.000658976878158895,0,0,0,0.0263995031556907,0,0,0,0,0,0,0,0
44,0,4.04280293349015e-06,0,0,0,0.00334339802599635,0,0,0,0.0176751344252189,0.487238609544233,0,0,0,0,0.000731747330961717,0,0,0,0.0193326836279499,0,0,0,0,0,3.23424234679212e-05,0,0
45,0,4.04280293349015e-06,0,0,0,0.00350511014333596,0,0,0,0.0222798869664642,0.854167446590733,0,0,0,0,0.000958144295237166,0,0,0,0.0302401659425063,0,0,0,0,0,0.000375980672814584,0,0
46,0,0,8.0856058669803e-06,0,0,0.00487157753485563,0,0,0,0.0342021128173267,0.304176449912865,0,0,0,0,0.00158882155286163,0,0,0,0.0684082684375868,0,0,0,0,0,4.04280293349015e-05,0,0
47,0,2.02140146674508e-05,8.0856058669803e-06,0,0,0.012512475079152,0,0,0,0.0880441622855485,4.4547160387776,0,0,0,0,0.00380023475748074,0,0,0,3.68350286557915,0,0,0,0,0,4.04280293349015e-05,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.000121284088004705,0.000117241285071214,0,0,0.121825823597792,0,0,0,0.685691719943398,61.3676624440668,0,0,0,0,0.0277659705472104,8.0856058669803e-06,0,0,16.9170724899631,0,0,0,0,0,0.000594292031223052,0,0
