taglen,crossmapped,rmsk_Unknown,Unknown,SINE,snRNA,srpRNA,LTR,star,p3_UTR,rmsk_Low_complexity,rmsk_RNA,tRNA,stemloop,rmsk_Other,Satellite,p5_UTR,precursor,rRNA,rmsk_DNA,Intron,LINE,No_CDS,rmsk_Simple_repeat,Coding_Exon,unannotated,snoRNA,mature,scRNA
34,0,0,0.0636805242000815,0,0,0,0,0,0.00731156307104468,0,0,0,1.93342346523879e-05,0,0,0.00130506083903618,0,0,0,0.0494569722408082,0,0,0,0.00443076210783888,9.66711732619393e-06,0,5.47803315150989e-05,0
35,0,0,0.121615558335962,0,0,0,0,0,0.00217187902595157,0,0,0,9.9893545704004e-05,0,0,0.000844261579820937,0,0,0,0.0292236956770843,0,0,0,0.00358650052801795,6.44474488412929e-06,0,0.000515579590730343,0
36,0,0,0.0977571127749151,0,0,0,0,0,0.0017497482360411,0,0,0,0.00013856201500878,0,0,0.000834594462494743,0,0,0,0.0161247517000915,0,0,0,0.00301936297821457,3.22237244206464e-06,0,0.000483355866309697,0
37,0,0,0.0700479321456012,0,0,0,0,0,0.0011664988240274,0,0,0,0.000119227780356392,0,0,0.00125028050752108,0,0,0,0.0131795032880444,0,0,0,0.00309669991682412,1.28894897682586e-05,0,6.44474488412929e-05,0
38,0,0,0.0637417492764807,0,0,0,0,0,0.00102149206413449,0,0,0,5.80027039571636e-05,0,0,0.000718589054580416,0,0,0,0.0211580974545965,0,0,0,0.00248444915283184,0,0,0.000164340994545297,0
39,0,0,0.0409112405244527,0,0,0,0,0,0.00127928185949966,0,0,0,3.22237244206464e-06,0,0,0.000576804667129571,0,0,0,0.0321367203647107,0,0,0,0.00215254479129918,0,0,9.66711732619393e-05,0
40,0,0,0.0491605139761382,0,0,0,0,0,0.000841039207378872,0,0,0,2.57789795365171e-05,0,0,0.000322237244206464,0,0,0,0.0301259599608624,0,0,0,0.00235555425514925,3.22237244206464e-06,0,3.22237244206464e-05,0
41,0,0,0.0397834101697301,0,0,0,0,0,0.000605806019108153,0,0,0,3.22237244206464e-06,0,0,0.000161118622103232,0,0,0,0.0294718183551232,0,0,0,0.00198498142431182,0,0,2.90013519785818e-05,0
42,0,0,0.0567556458220846,0,0,0,0,0,0.000660586350623252,0,0,0,0,0,0,0.000106338290588133,0,0,0,0.0267521360140207,0,0,0,0.00168530078719981,0,0,5.15579590730343e-05,0
43,0,0,0.0770888159315125,0,0,0,0,0,0.00072181142702248,0,0,0,9.66711732619393e-06,0,0,0.000122450152798456,0,0,0,0.026420231652488,0,0,0,0.00161118622103232,3.22237244206464e-06,0,2.90013519785818e-05,0
44,0,0,0.150652356411406,0,0,0,0,0,0.00081203785540029,0,0,0,6.44474488412929e-06,0,0,0.000135339642566715,0,0,0,0.0217477916114943,0,0,0,0.00143395573671877,0,0,9.022642837781e-05,0
45,0,0,0.0786258875863773,0,0,0,0,0,0.000618695508876412,0,0,0,0,0,0,9.66711732619393e-05,0,0,0,0.0514161746855835,0,0,0,0.00181419568488239,0,0,0.00195598007233324,0
46,0,0,0.247336419163114,0,0,0,0,0,0.000750812779001062,0,0,0,0,0,0,0.000199787091408008,0,0,0,0.274339900227616,0,0,0,0.00228466206142383,0,0,0.00018045285675562,0
47,0,0,8.67611212773381,0,0,0,0,0,0.00165629943522123,0,0,0,6.44474488412929e-06,0,0,0.000464021631657309,0,0,0,3.21307267519685,0,0,0,0.0056230399114028,9.66711732619393e-06,0,0.000125672525240521,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,36.3770563730858,0,0,0,0,0,0.0267070227998318,0,0,0,1.28894897682586e-05,0,0,0.00763380031525114,3.22237244206464e-06,0,0,33.3727289846859,0,0,0,0.0425578728423478,2.90013519785818e-05,0,0.00300647348844631,0
