taglen,crossmapped,rmsk_Simple_repeat,tRNA,LINE,rmsk_Other,No_CDS,rmsk_DNA,unannotated,Intron,Satellite,scRNA,srpRNA,snRNA,mature,rmsk_Unknown,star,LTR,Unknown,p5_UTR,rmsk_Low_complexity,rRNA,p3_UTR,SINE,rmsk_RNA,stemloop,Coding_Exon,precursor,snoRNA
34,0,0,0,0,0,0,0,5.32103394074709e-06,0.0450797995460094,0,0,0,0,1.59631018222413e-05,0,0,0,0.078687449915768,0.00258070146126234,0,0,0.0108602302730648,0,0,0,0.0195281945625418,0,0
35,0,0,0,0,0,0,0,5.32103394074709e-06,0.0382954812715568,0,0,0,0,2.66051697037355e-05,0,0,0,0.0483469143856281,0.00180383050591327,0,0,0.00643313003436324,0,0,2.12841357629884e-05,0.0183362829598145,0,0
36,0,0,0,0,0,0,0,1.06420678814942e-05,0.0120893891133774,0,0,0,0,3.19262036444826e-05,0,0,0,0.102084036153233,0.0023838232054547,0,0,0.00848704913549162,0,0,1.06420678814942e-05,0.019714430750468,0,0
37,0,0,0,0,0,0,0,0,0.0107910568318351,0,0,0,0,1.59631018222413e-05,0,0,0,0.0699396701171798,0.00273501144554401,0,0,0.00387903374280463,0,0,1.59631018222413e-05,0.0193685635443194,0,0
38,0,0,0,0,0,0,0,0,0.0106261047796719,0,0,0,0,5.8531373348218e-05,0,0,0,0.0663692563429385,0.00188896704896522,0,0,0.00474636227514641,0,0,0,0.0171709765267909,0,0
39,0,0,0,0,0,0,0,0,0.0305267717180661,0,0,0,0,6.91734412297122e-05,0,0,0,0.0745583275777483,0.00113338022937913,0,0,0.00411848027013825,0,0,0,0.0162131904174564,0,0
40,0,0,0,0,0,0,0,1.06420678814942e-05,0.054072346905872,0,0,0,0,1.06420678814942e-05,0,0,0,0.0786182764745383,0.00139943192641649,0,0,0.00327243587355946,0,0,1.06420678814942e-05,0.0152021939687144,0,0
41,0,0,0,0,0,0,0,5.32103394074709e-06,0.0212362464575217,0,0,0,0,0,0,0,0,0.0697481128953129,0.000675771310474881,0,0,0.00333096724690768,0,0,0,0.0157289763288484,0,0
42,0,0,0,0,0,0,0,5.32103394074709e-06,0.0145370647261211,0,0,0,0,2.12841357629884e-05,0,0,0,0.0681198765094443,0.000936501973571489,0,0,0.00355977170635981,0,0,5.32103394074709e-06,0.0124405773534667,0,0
43,0,0,0,0,0,0,0,5.32103394074709e-06,0.0280790961053224,0,0,0,0,0,0,0,0,0.0439410982826895,0.000856686464460282,0,0,0.00305427348198883,0,0,0,0.0127172711183856,0,0
44,0,0,0,0,0,0,0,0,0.011488112278073,0,0,0,0,1.59631018222413e-05,0,0,0,0.0896062115621811,0.000755586819586087,0,0,0.0034799561972486,0,0,0,0.0111422450719244,0,0
45,0,0,0,0,0,0,0,0,0.0157342973627892,0,0,0,0,0.000537424428015457,0,0,0,0.217257815800704,0.000739623717763846,0,0,0.00304363141410734,0,0,0,0.0137548727368312,0,0
46,0,0,0,0,0,0,0,0,0.0310003437387926,0,0,0,0,3.72472375852297e-05,0,0,0,0.0859719453806508,0.000904575769927006,0,0,0.00335757241661142,0,0,0,0.0162717217908046,0,0
47,0,0,0,0,0,0,0,0,1.30698428272995,0,0,0,0,5.32103394074709e-06,0,0,0,1.42574976028742,0.00227740252663976,0,0,0.00601276835304422,0,0,0,0.0333735248763658,1.06420678814942e-05,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,9.57786109334477e-05,7.47939429606446,0,0,0,0,0.000239446527333619,0,0,0,53.8425048448014,0.0116158170926509,0,0,0.0438027514002301,0,0,5.32103394074709e-06,0.19756999021994,2.12841357629884e-05,0
