,Gene,X1_1PP,X10_1KD,X10TB,X11DA_H,X11SLS,X12_2SST,X12HR,X13MF,X15BB,X16_2BP,X17LB,X18TD,X1WV,X2CW,X3RY,X4HB,X4MH,X5SW,X6_1PH,X6SB,X7_1GG,X7GH,X8CB,X8RP,X9CG,X9CW,XJB1
363,cfa-mir-8838.MIMAT0034331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,cfa-mir-8839.MIMAT0034332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,cfa-mir-8840.MIMAT0034333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,cfa-mir-8841.MIMAT0034334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,cfa-mir-8842.MIMAT0034335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,cfa-mir-8843.MIMAT0034336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,cfa-mir-8844.MIMAT0034338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,cfa-mir-8845.MIMAT0034339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,cfa-mir-8846.MIMAT0034340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,cfa-mir-8847.MIMAT0034342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,cfa-mir-8848.MIMAT0034343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,cfa-mir-8849.MIMAT0034344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,cfa-mir-885.MIMAT0009933,329,58,532,84,178,314,253,30,37,110,846,67,5,9,67,383,255,366,462,15,119,111,115,428,270,2,488
376,cfa-mir-8850.MIMAT0034345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,cfa-mir-8851.MIMAT0034346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,cfa-mir-8852.MIMAT0034347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,cfa-mir-8853.MIMAT0034348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,cfa-mir-8854.MIMAT0034349,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0
381,cfa-mir-8855.MIMAT0034350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,cfa-mir-8856.MIMAT0034351,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0
383,cfa-mir-8857.MIMAT0034352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,cfa-mir-8858.MIMAT0034353,2,0,1,0,2,0,1,3,0,2,0,1,0,0,0,2,0,2,5,0,4,1,1,1,0,5,4
385,cfa-mir-8859a.MIMAT0034354,382,137,930,423,592,331,585,193,44,230,1212,244,14,57,435,1027,354,477,583,42,367,291,303,1324,817,39,229
386,cfa-mir-8859b.MIMAT0034358,59,12,170,57,95,44,73,15,23,62,159,48,7,11,119,98,35,195,203,26,86,48,278,173,102,6,26
387,cfa-mir-8860.MIMAT0034355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,cfa-mir-8861.MIMAT0034356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,cfa-mir-8862.MIMAT0034359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,cfa-mir-8863.MIMAT0034360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,cfa-mir-8864.MIMAT0034361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,cfa-mir-8865.MIMAT0034362,4,5,16,21,10,6,9,0,5,6,65,3,13,11,17,2,14,11,25,8,16,10,20,4,4,130,27
393,cfa-mir-8866.MIMAT0034363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,cfa-mir-8867.MIMAT0034364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,cfa-mir-8868.MIMAT0034365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,cfa-mir-8869.MIMAT0034366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,cfa-mir-8870.MIMAT0034367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,cfa-mir-8871.MIMAT0034368,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
399,cfa-mir-8872.MIMAT0034369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,cfa-mir-8873a.MIMAT0034373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,cfa-mir-8873b.MIMAT0034395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,cfa-mir-8874.MIMAT0034374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,cfa-mir-8875.MIMAT0034375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,cfa-mir-8876.MIMAT0034376,3,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0
405,cfa-mir-8877.MIMAT0034377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
